commune,insee_code,secteur_id,label,rooms,epoch,furnished,dwelling_type,ref_minore,ref_median,ref_majore,year,source,zonage_source
Ahetze,64009,72,Ahetze — Ahetze (zone 2),2,1971-1990,false,appartement,8.40,12.00,14.40,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),2,1971-1990,true,appartement,9.30,13.30,16.00,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),2,<1946,false,appartement,8.10,11.60,13.90,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),2,<1946,true,appartement,9.00,12.90,15.50,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),2,>1990,false,appartement,8.90,12.70,15.20,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),2,>1990,true,appartement,9.90,14.10,16.90,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),3,1946-1970,false,appartement,7.30,10.40,12.50,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),3,1946-1970,true,appartement,8.10,11.50,13.80,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),3,1971-1990,false,appartement,7.10,10.10,12.10,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),3,1971-1990,true,appartement,7.80,11.20,13.40,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),3,<1946,false,appartement,7.10,10.20,12.20,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),3,<1946,true,appartement,7.90,11.30,13.60,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),3,>1990,false,appartement,7.60,10.90,13.10,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),3,>1990,true,appartement,8.50,12.10,14.50,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),4,1946-1970,false,appartement,6.40,9.20,11.00,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),4,1946-1970,true,appartement,7.10,10.20,12.20,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),4,1971-1990,false,appartement,6.90,9.80,11.80,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),4,1971-1990,true,appartement,7.60,10.90,13.10,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),4,<1946,false,appartement,6.20,8.90,10.70,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),4,<1946,true,appartement,6.90,9.90,11.90,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),4,>1990,false,appartement,7.20,10.30,12.40,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),4,>1990,true,appartement,8.00,11.40,13.70,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),1,1946-1970,false,maison,12.00,17.10,20.50,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),1,1946-1970,true,maison,13.30,19.00,22.80,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),1,1971-1990,false,maison,12.00,17.20,20.60,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),1,1971-1990,true,maison,13.40,19.10,22.90,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),1,<1946,false,maison,12.30,17.50,21.00,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),1,<1946,true,maison,13.60,19.40,23.30,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),1,>1990,false,maison,12.00,17.20,20.60,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),1,>1990,true,maison,13.40,19.10,22.90,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),2,1946-1970,false,maison,8.90,12.70,15.20,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),2,1946-1970,true,maison,9.90,14.10,16.90,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
Ahetze,64009,72,Ahetze — Ahetze (zone 2),2,1971-1990,false,maison,9.20,13.10,15.70,2026,"Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data.","Communauté d'agglomération Pays Basque (via l'application ADWS du simulateur public) · Encadrement Pays Basque — barème applicable à compter du 2025-11-25 · NON DÉTERMINÉE — API applicative publique et non authentifiée, pas un jeu de données publié. Donnée réglementaire (arrêté préfectoral). À faire republier en open data."
